Appendix A-State and County Codes and Names
FIPS          County     State
01     001     Autauga     AL
01     003     Baldwin     AL
01     005     Barbour     AL
01     007     Bibb     AL
01     009     Blount     AL
01     011     Bullock     AL
01     013     Butler     AL
01     015     Calhoun     AL
01     017     Chambers     AL
01     019     Cherokee     AL
01     021     Chilton     AL
01     023     Choctaw     AL
01     025     Clarke     AL
01     027     Clay     AL
01     029     Cleburne     AL
01     031     Coffee     AL
01     033     Colbert     AL
01     035     Conecuh     AL
01     037     Coosa     AL
01     039     Covington     AL
01     041     Crenshaw     AL
01     043     Cullman     AL
01     045     Dale     AL
01     047     Dallas     AL
01     049     DeKalb     AL
01     051     Elmore     AL
01     053     Escambia     AL
01     055     Etowah     AL
01     057     Fayette     AL
01     059     Franklin     AL
01     061     Geneva     AL
01     063     Greene     AL
01     065     Hale     AL
01     067     Henry     AL
01     069     Houston     AL
01     071     Jackson     AL
01     073     Jefferson     AL
01     075     Lamar     AL
01     077     Lauderdale     AL
01     079     Lawrence     AL
01     081     Lee     AL
01     083     Limestone     AL
01     085     Lowndes     AL
01     087     Macon     AL
01     089     Madison     AL
01     091     Marengo     AL
01     093     Marion     AL
01     095     Marshall     AL
01     097     Mobile     AL
01     099     Monroe     AL
01     101     Montgomery     AL
01     103     Morgan     AL
01     105     Perry     AL
01     107     Pickens     AL
01     109     Pike     AL
01     111     Randolph     AL
01     113     Russell     AL
01     115     St. Clair     AL
01     117     Shelby     AL
01     119     Sumter     AL
01     121     Talladega     AL
01     123     Tallapoosa     AL
01     125     Tuscaloosa     AL
01     127     Walker     AL
01     129     Washington     AL
01     131     Wilcox     AL
01     133     Winston     AL
02     013     Aleutians East     AK
02     016     Aleutians West     AK
02     020     Anchorage     AK
02     050     Bethel     AK
02     060     Bristol Bay     AK
02     068     Denali     AK
02     070     Dillingham     AK
02     090     Fairbanks North Star     AK
02     100     Haines     AK
02     110     Juneau     AK
02     122     Kenai Peninsula     AK
02     130     Ketchikan Gateway     AK
02     150     Kodiak Island     AK
02     164     Lake and Peninsula     AK
02     170     Matanuska-Susitna     AK
02     180     Nome     AK
02     185     North Slope     AK
02     188     Northwest Arctic     AK
02     201     Prince of Wales-
          Outer Ketchikan      AK
02     220     Sitka     AK
02     232     Skagway-Hoonah-Angoon     AK
02     240     Southeast Fairbanks     AK
02     261     Valdez-Cordova     AK
02     270     Wade Hampton     AK
02     280     Wrangell-Petersburg     AK
02     282     Yakutat     AK
02     290     Yukon-Koyukuk     AK
04     001     Apache     AZ
04     003     Cochise     AZ
04     005     Coconino     AZ
04     007     Gila     AZ
04     009     Graham     AZ
04     011     Greenlee     AZ
04     012     La Paz     AZ
04     013     Maricopa     AZ
04     015     Mohave     AZ
04     017     Navajo     AZ
04     019     Pima     AZ
04     021     Pinal     AZ
04     023     Santa Cruz     AZ
04     025     Yavapai     AZ
04     027     Yuma     AZ
05     001     Arkansas     AR
05     003     Ashley     AR
05     005     Baxter     AR
05     007     Benton     AR
05     009     Boone     AR
05     011     Bradley     AR
05     013     Calhoun     AR
05     015     Carroll     AR
05     017     Chicot     AR
05     019     Clark     AR
05     021     Clay     AR
05     023     Cleburne     AR
05     025     Cleveland     AR
05     027     Columbia     AR
05     029     Conway     AR
05     031     Craighead     AR
05     033     Crawford     AR
05     035     Crittenden     AR
05     037     Cross     AR
05     039     Dallas     AR
05     041     Desha     AR
05     043     Drew     AR
05     045     Faulkner     AR
05     047     Franklin     AR
05     049     Fulton     AR
05     051     Garland     AR
05     053     Grant     AR
05     055     Greene     AR
05     057     Hempstead     AR
05     059     Hot Spring     AR
05     061     Howard     AR
05     063     Independence     AR
05     065     Izard     AR
05     067     Jackson     AR
05     069     Jefferson     AR
05     071     Johnson     AR
05     073     Lafayette     AR
05     075     Lawrence     AR
05     077     Lee     AR
05     079     Lincoln     AR
05     081     Little River     AR
05     083     Logan     AR
05     085     Lonoke     AR
05     087     Madison     AR
05     089     Marion     AR
05     091     Miller     AR
05     093     Mississippi     AR
05     095     Monroe     AR
05     097     Montgomery     AR
05     099     Nevada     AR
05     101     Newton     AR
05     103     Ouachita     AR
05     105     Perry     AR
05     107     Phillips     AR
05     109     Pike     AR
05     111     Poinsett     AR
05     113     Polk     AR
05     115     Pope     AR
05     117     Prairie     AR
05     119     Pulaski     AR
05     121     Randolph     AR
05     123     St. Francis     AR
05     125     Saline     AR
05     127     Scott     AR
05     129     Searcy     AR
05     131     Sebastian     AR
05     133     Sevier     AR
05     135     Sharp     AR
05     137     Stone     AR
05     139     Union     AR
05     141     Van Buren     AR
05     143     Washington     AR
05     145     White     AR
05     147     Woodruff     AR
05     149     Yell     AR
06     001     Alameda     CA
06     003     Alpine     CA
06     005     Amador     CA
06     007     Butte     CA
06     009     Calaveras     CA
06     011     Colusa     CA
06     013     Contra Costa     CA
06     015     Del Norte     CA
06     017     El Dorado     CA
06     019     Fresno     CA
06     021     Glenn     CA
06     023     Humboldt     CA
06     025     Imperial     CA
06     027     Inyo     CA
06     029     Kern     CA
06     031     Kings     CA
06     033     Lake     CA
06     035     Lassen     CA
06     037     Los Angeles     CA
06     039     Madera     CA
06     041     Marin     CA
06     043     Mariposa     CA
06     045     Mendocino     CA
06     047     Merced     CA
06     049     Modoc     CA
06     051     Mono     CA
06     053     Monterey     CA
06     055     Napa     CA
06     057     Nevada     CA
06     059     Orange     CA
06     061     Placer     CA
06     063     Plumas     CA
06     065     Riverside     CA
06     067     Sacramento     CA
06     069     San Benito     CA
06     071     San Bernardino     CA
06     073     San Diego     CA
06     075     San Francisco     CA
06     077     San Joaquin     CA
06     079     San Luis Obispo     CA
06     081     San Mateo     CA
06     083     Santa Barbara     CA
06     085     Santa Clara     CA
06     087     Santa Cruz     CA
06     089     Shasta     CA
06     091     Sierra     CA
06     093     Siskiyou     CA
06     095     Solano     CA
06     097     Sonoma     CA
06     099     Stanislaus     CA
06     101     Sutter     CA
06     103     Tehama     CA
06     105     Trinity     CA
06     107     Tulare     CA
06     109     Tuolumne     CA
06     111     Ventura     CA
06     113     Yolo     CA
06     115     Yuba     CA
08     001     Adams     CO
08     003     Alamosa     CO
08     005     Arapahoe     CO
08     007     Archuleta     CO
08     009     Baca     CO
08     011     Bent     CO
08     013     Boulder     CO
08     014     Broomfield     CO
08     015     Chaffee     CO
08     017     Cheyenne     CO
08     019     Clear Creek     CO
08     021     Conejos     CO
08     023     Costilla     CO
08     025     Crowley     CO
08     027     Custer     CO
08     029     Delta     CO
08     031     Denver     CO
08     033     Dolores     CO
08     035     Douglas     CO
08     037     Eagle     CO
08     039     Elbert     CO
08     041     El Paso     CO
08     043     Fremont     CO
08     045     Garfield     CO
08     047     Gilpin     CO
08     049     Grand     CO
08     051     Gunnison     CO
08     053     Hinsdale     CO
08     055     Huerfano     CO
08     057     Jackson     CO
08     059     Jefferson     CO
08     061     Kiowa     CO
08     063     Kit Carson     CO
08     065     Lake     CO
08     067     La Plata     CO
08     069     Larimer     CO
08     071     Las Animas     CO
08     073     Lincoln     CO
08     075     Logan     CO
08     077     Mesa     CO
08     079     Mineral     CO
08     081     Moffat     CO
08     083     Montezuma     CO
08     085     Montrose     CO
08     087     Morgan     CO
08     089     Otero     CO
08     091     Ouray     CO
08     093     Park     CO
08     095     Phillips     CO
08     097     Pitkin     CO
08     099     Prowers     CO
08     101     Pueblo     CO
08     103     Rio Blanco     CO
08     105     Rio Grande     CO
08     107     Routt     CO
08     109     Saguache     CO
08     111     San Juan     CO
08     113     San Miguel     CO
08     115     Sedgwick     CO
08     117     Summit     CO
08     119     Teller     CO
08     121     Washington     CO
08     123     Weld     CO
08     125     Yuma     CO
09     001     Fairfield     CT
09     003     Hartford     CT
09     005     Litchfield     CT
09     007     Middlesex     CT
09     009     New Haven     CT
09     011     New London     CT
09     013     Tolland     CT
09     015     Windham     CT
10     001     Kent     DE
10     003     New Castle     DE
10     005     Sussex     DE
11     001     District of Columbia     DC
12     001     Alachua     FL
12     003     Baker     FL
12     005     Bay     FL
12     007     Bradford     FL
12     009     Brevard     FL
12     011     Broward     FL
12     013     Calhoun     FL
12     015     Charlotte     FL
12     017     Citrus     FL
12     019     Clay     FL
12     021     Collier     FL
12     023     Columbia     FL
12     027     DeSoto     FL
12     029     Dixie     FL
12     031     Duval     FL
12     033     Escambia     FL
12     035     Flagler     FL
12     037     Franklin     FL
12     039     Gadsden     FL
12     041     Gilchrist     FL
12     043     Glades     FL
12     045     Gulf     FL
12     047     Hamilton     FL
12     049     Hardee     FL
12     051     Hendry     FL
12     053     Hernando     FL
12     055     Highlands     FL
12     057     Hillsborough     FL
12     059     Holmes     FL
12     061     Indian River     FL
12     063     Jackson     FL
12     065     Jefferson     FL
12     067     Lafayette     FL
12     069     Lake     FL
12     071     Lee     FL
12     073     Leon     FL
12     075     Levy     FL
12     077     Liberty     FL
12     079     Madison     FL
12     081     Manatee     FL
12     083     Marion     FL
12     085     Martin     FL
12     086     Miami-Dade     FL
12     087     Monroe     FL
12     089     Nassau     FL
12     091     Okaloosa     FL
12     093     Okeechobee     FL
12     095     Orange     FL
12     097     Osceola     FL
12     099     Palm Beach     FL
12     101     Pasco     FL
12     103     Pinellas     FL
12     105     Polk     FL
12     107     Putnam     FL
12     109     St. Johns     FL
12     111     St. Lucie     FL
12     113     Santa Rosa     FL
12     115     Sarasota     FL
12     117     Seminole     FL
12     119     Sumter     FL
12     121     Suwannee     FL
12     123     Taylor     FL
12     125     Union     FL
12     127     Volusia     FL
12     129     Wakulla     FL
12     131     Walton     FL
12     133     Washington     FL
13     001     Appling     GA
13     003     Atkinson     GA
13     005     Bacon     GA
13     007     Baker     GA
13     009     Baldwin     GA
13     011     Banks     GA
13     013     Barrow     GA
13     015     Bartow     GA
13     017     Ben Hill     GA
13     019     Berrien     GA
13     021     Bibb     GA
13     023     Bleckley     GA
13     025     Brantley     GA
13     027     Brooks     GA
13     029     Bryan     GA
13     031     Bulloch     GA
13     033     Burke     GA
13     035     Butts     GA
13     037     Calhoun     GA
13     039     Camden     GA
13     043     Candler     GA
13     045     Carroll     GA
13     047     Catoosa     GA
13     049     Charlton     GA
13     051     Chatham     GA
13     053     Chattahoochee     GA
13     055     Chattooga     GA
13     057     Cherokee     GA
13     059     Clarke     GA
13     061     Clay     GA
13     063     Clayton     GA
13     065     Clinch     GA
13     067     Cobb     GA
13     069     Coffee     GA
13     071     Colquitt     GA
13     073     Columbia     GA
13     075     Cook     GA
13     077     Coweta     GA
13     079     Crawford     GA
13     081     Crisp     GA
13     083     Dade     GA
13     085     Dawson     GA
13     087     Decatur     GA
13     089     DeKalb     GA
13     091     Dodge     GA
13     093     Dooly     GA
13     095     Dougherty     GA
13     097     Douglas     GA
13     099     Early     GA
13     101     Echols     GA
13     103     Effingham     GA
13     105     Elbert     GA
13     107     Emanuel     GA
13     109     Evans     GA
13     111     Fannin     GA
13     113     Fayette     GA
13     115     Floyd     GA
13     117     Forsyth     GA
13     119     Franklin     GA
13     121     Fulton     GA
13     123     Gilmer     GA
13     125     Glascock     GA
13     127     Glynn     GA
13     129     Gordon     GA
13     131     Grady     GA
13     133     Greene     GA
13     135     Gwinnett     GA
13     137     Habersham     GA
13     139     Hall     GA
13     141     Hancock     GA
13     143     Haralson     GA
13     145     Harris     GA
13     147     Hart     GA
13     149     Heard     GA
13     151     Henry     GA
13     153     Houston     GA
13     155     Irwin     GA
13     157     Jackson     GA
13     159     Jasper     GA
13     161     Jeff Davis     GA
13     163     Jefferson     GA
13     165     Jenkins     GA
13     167     Johnson     GA
13     169     Jones     GA
13     171     Lamar     GA
13     173     Lanier     GA
13     175     Laurens     GA
13     177     Lee     GA
13     179     Liberty     GA
13     181     Lincoln     GA
13     183     Long     GA
13     185     Lowndes     GA
13     187     Lumpkin     GA
13     189     McDuffie     GA
13     191     McIntosh     GA
13     193     Macon     GA
13     195     Madison     GA
13     197     Marion     GA
13     199     Meriwether     GA
13     201     Miller     GA
13     205     Mitchell     GA
13     207     Monroe     GA
13     209     Montgomery     GA
13     211     Morgan     GA
13     213     Murray     GA
13     215     Muscogee     GA
13     217     Newton     GA
13     219     Oconee     GA
13     221     Oglethorpe     GA
13     223     Paulding     GA
13     225     Peach     GA
13     227     Pickens     GA
13     229     Pierce     GA
13     231     Pike     GA
13     233     Polk     GA
13     235     Pulaski     GA
13     237     Putnam     GA
13     239     Quitman     GA
13     241     Rabun     GA
13     243     Randolph     GA
13     245     Richmond     GA
13     247     Rockdale     GA
13     249     Schley     GA
13     251     Screven     GA
